student_id,course_id,mark,semester_number,predicted_mark,student_count_above_zero,course_count_above_zero,difference
28188,PHE3,99.0,2,91.22606751592775,28,1465,7.7739324840722475
8292,PHR 718,51.0,2,43.23059889111282,47,1275,7.76940110888718
28388,PHPT 638,59.0,1,66.76903849163536,31,1525,7.7690384916353565
8496,PHR 913,67.0,2,59.23246999474071,49,994,7.767530005259289
28605,PHAC 556,85.0,1,77.23538541489958,27,1597,7.764614585100418
25389,RQUE5,96.0,1,88.23647101100711,51,1637,7.7635289889928885
33911,PHR 209,86.0,1,78.23672436141675,13,1940,7.763275638583252
12658,PHBM 848,71.0,1,63.24147472013056,50,1165,7.758525279869438
27867,PHBM 552,76.0,2,68.24318938650556,28,1437,7.756810613494437
11588,PHPP 840,90.0,2,82.24333577034099,52,1115,7.756664229659009
9190,PHCC023,82.0,2,89.75501164137702,55,943,7.755011641377024
8244,PHBM 848,93.0,1,85.24520819020663,51,1165,7.754791809793375
33197,PHBM 552,81.0,2,73.24822755207322,14,1437,7.751772447926783
21258,PHR 718,81.0,2,73.25431401117184,41,1275,7.745685988828157
8341,PHAC 855,73.0,2,65.25466738324889,55,1303,7.745332616751114
20443,PHR 016,83.0,2,75.25483742486783,38,1323,7.74516257513217
28568,PHPT 638,85.0,2,92.74387244481855,28,1525,7.74387244481855
8527,PHPP 839,66.0,1,58.257860923580694,54,1067,7.742139076419306
33031,PHBM 654,90.0,1,82.25849907628516,13,1690,7.741500923714838
6545,PHCC 924,57.0,1,64.73859915548823,58,1110,7.738599155488231
21567,PHPT 932,55.0,2,62.73769460229806,29,1480,7.737694602298063
6880,PHAC 855,58.0,1,50.26527170634099,53,1303,7.7347282936590105
33143,PHR 319,94.0,1,86.26633517657108,17,1781,7.733664823428924
29647,PHPT 638,72.0,1,64.26839894760099,23,1525,7.731601052399014
8597,PHPP 642,62.0,1,54.268628416291826,44,1493,7.7313715837081745
12871,PHPT 932,77.0,1,84.73056284162367,54,1480,7.730562841623666
24749,PHAC 855,86.0,1,78.27003677080063,48,1303,7.72996322919937
28448,PHPT 436,60.0,2,52.27067638381994,27,1972,7.729323616180061
9577,PHE2,62.0,2,69.72593047537951,52,966,7.7259304753795135
35108,PHBM 947,78.0,1,70.2742179705394,26,1417,7.725782029460603
7777,PHPP 543,64.0,1,56.27543628334662,33,1625,7.724563716653378
16595,PHR 017,66.0,2,58.27648492493284,37,1306,7.723515075067162
28003,PHPC 545,59.0,1,66.71719482528796,23,1641,7.717194825287962
22618,PHCC 326,50.0,1,57.71673304811762,22,1928,7.716733048117618
8652,PHPT 833,68.0,2,60.28388678681851,49,1161,7.716113213181487
28097,PHBM 654,65.0,1,57.2839194145523,25,1690,7.716080585447699
21721,PHE3,94.0,2,86.28589961200302,42,1465,7.714100387996979
29549,PHE3,79.0,1,86.70933203726858,26,1465,7.709332037268581
24871,PHPT 932,79.0,1,71.29340648425959,37,1480,7.706593515740408
