student_id,Lvl 1,Lvl 2,Lvl 3,Lvl 4,PHAC 358,PHAC 359,PHAC 457,PHAC 556,PHAC 855,PHBM 149,PHBM 250,PHBM 453,PHBM 552,PHBM 654,PHBM 751,PHBM 848,PHBM 947,PHCC 022,PHCC 121,PHCC 326,PHCC 629,PHCC 728,PHCC 924,PHCC 927,PHCC023,PHCC225,PHE1,PHE2,PHE3,PHE4,PHE5,PHE6,PHE7,PHPC 446,PHPC 545,PHPP 543,PHPP 642,PHPP 741,PHPP 839,PHPP 840,PHPT 030,PHPT 337,PHPT 436,PHPT 535,PHPT 638,PHPT 734,PHPT 833,PHPT 931,PHPT 932,PHR 015,PHR 016,PHR 017,PHR 104,PHR 206,PHR 208,PHR 209,PHR 310,PHR 319,PHR 405,PHR 420,PHR 512,PHR 718,PHR 913,PHR 914,RQU 103,RQU 207,RQU 211,RQU101,RQU102,RQUE1,RQUE2,RQUE3,RQUE4,RQUE5,RQUE6
9366,0.0,0.0,0.0,0.0,87.0,88.0,95.0,84.0,0.0,73.0,87.0,73.0,0.0,90.0,81.0,0.0,76.0,76.0,91.0,93.0,77.0,76.0,74.0,0.0,0.0,83.0,0.0,0.0,64.0,0.0,99.0,82.0,97.0,83.0,82.0,74.0,72.0,84.0,81.0,77.0,0.0,64.0,80.0,84.0,76.0,76.0,74.0,0.0,0.0,0.0,90.0,88.0,95.0,92.0,89.0,84.0,81.0,73.0,90.0,78.0,85.0,0.0,0.0,0.0,83.0,71.0,89.0,84.0,84.0,0.0,0.0,84.0,0.0,93.0,0.0
9379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,82.0,70.0,76.0,82.0,0.0,0.0,0.0,86.0,0.0
9393,0.0,0.0,0.0,0.0,77.0,58.0,58.0,68.0,77.0,54.0,58.0,62.0,71.0,50.0,0.0,65.0,0.0,74.0,52.0,66.0,49.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,76.0,0.0,56.0,66.0,66.0,71.0,50.0,58.0,69.0,0.0,0.0,75.0,78.0,51.0,0.0,0.0,0.0,0.0,53.0,0.0,64.0,54.0,71.0,60.0,63.0,68.0,54.0,56.0,69.0,0.0,85.0,0.0,0.0,0.0,64.0,60.0,61.0,74.0,69.0,0.0,0.0,0.0,0.0,72.0,54.0
9462,0.0,0.0,0.0,0.0,83.0,73.0,92.0,83.0,59.0,63.0,72.0,61.0,72.0,82.0,64.0,0.0,73.0,70.0,84.0,76.0,64.0,65.0,69.0,0.0,73.0,62.0,0.0,71.0,80.0,0.0,0.0,83.0,0.0,76.0,72.0,67.0,66.0,83.0,78.0,0.0,68.0,76.0,76.0,87.0,68.0,64.0,81.0,60.0,74.0,0.0,0.0,91.0,79.0,75.0,71.0,65.0,74.0,75.0,84.0,63.0,84.0,67.0,0.0,0.0,72.0,65.0,82.0,64.0,73.0,0.0,0.0,79.0,0.0,0.0,0.0
9480,0.0,0.0,0.0,0.0,59.0,64.0,59.0,42.0,67.0,82.0,81.0,68.0,74.0,52.0,58.0,55.0,0.0,0.0,81.0,66.0,55.0,0.0,0.0,0.0,0.0,85.0,52.0,0.0,61.0,0.0,0.0,70.0,52.0,63.0,55.0,54.0,60.0,0.0,0.0,0.0,0.0,73.0,58.0,58.0,0.0,0.0,0.0,0.0,71.0,61.0,71.0,54.0,63.0,69.0,81.0,57.0,58.0,62.0,0.0,0.0,76.0,73.0,0.0,0.0,80.0,83.0,80.0,61.0,81.0,0.0,0.0,83.0,0.0,95.0,0.0
9515,0.0,0.0,0.0,0.0,69.0,65.0,70.0,68.0,68.0,61.0,72.0,72.0,69.0,90.0,79.0,74.0,80.0,70.0,65.0,63.0,65.0,71.0,81.0,0.0,0.0,70.0,84.0,0.0,82.0,0.0,0.0,0.0,72.0,70.0,77.0,71.0,69.0,57.0,70.0,0.0,0.0,58.0,63.0,62.0,74.0,69.0,70.0,0.0,84.0,72.0,88.0,93.0,66.0,64.0,88.0,65.0,66.0,80.0,74.0,57.0,77.0,68.0,0.0,0.0,74.0,67.0,83.0,68.0,72.0,0.0,0.0,0.0,0.0,83.0,79.0
9519,0.0,0.0,0.0,0.0,64.0,73.0,59.0,63.0,71.0,55.0,71.0,64.0,60.0,63.0,74.0,57.0,71.0,0.0,72.0,69.0,59.0,56.0,57.0,0.0,0.0,67.0,86.0,0.0,69.0,0.0,0.0,62.0,83.0,67.0,65.0,59.0,63.0,48.0,0.0,0.0,0.0,63.0,64.0,57.0,59.0,56.0,0.0,46.0,73.0,0.0,80.0,0.0,83.0,51.0,97.0,61.0,59.0,63.0,72.0,0.0,66.0,62.0,0.0,0.0,68.0,59.0,89.0,62.0,82.0,0.0,0.0,66.0,0.0,86.0,0.0
9552,0.0,0.0,0.0,0.0,59.0,71.0,84.0,62.0,54.0,68.0,54.0,65.0,84.0,64.0,66.0,69.0,79.0,64.0,74.0,64.0,69.0,70.0,69.0,60.0,0.0,56.0,0.0,0.0,72.0,0.0,90.0,82.0,69.0,54.0,63.0,60.0,75.0,80.0,0.0,82.0,60.0,62.0,66.0,71.0,68.0,71.0,72.0,69.0,66.0,65.0,82.0,72.0,93.0,57.0,83.0,64.0,51.0,64.0,75.0,66.0,54.0,63.0,66.0,0.0,67.0,57.0,72.0,72.0,73.0,72.0,0.0,74.0,0.0,0.0,0.0
9575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,78.0,35.0,71.0,56.0,0.0,0.0,0.0,80.0,0.0
9577,0.0,0.0,0.0,0.0,70.0,74.0,79.0,72.0,0.0,65.0,80.0,65.0,63.0,77.0,74.0,60.0,72.0,57.0,91.0,81.0,61.0,0.0,0.0,0.0,0.0,91.0,77.0,0.0,0.0,0.0,0.0,0.0,99.0,58.0,77.0,62.0,76.0,48.0,0.0,70.0,0.0,56.0,61.0,60.0,64.0,62.0,59.0,0.0,77.0,0.0,77.0,87.0,100.0,85.0,90.0,61.0,53.0,74.0,55.0,59.0,83.0,79.0,67.0,0.0,65.0,50.0,71.0,59.0,74.0,0.0,0.0,0.0,80.0,78.0,0.0
